,Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
599,2014,11,20,23,17.153,22.776
600,2014,11,21,0,16.415,22.011
601,2014,11,21,1,16.725,20.031
602,2014,11,21,2,16.129,19.817
603,2014,11,21,3,16.677,19.698
604,2014,11,21,4,16.582,19.96
605,2014,11,21,5,16.392,21.413
606,2014,11,21,6,16.63,22.513
607,2014,11,21,7,16.844,23.521
608,2014,11,21,8,17.629,23.328
609,2014,11,21,9,19.199,23.184
610,2014,11,21,10,17.296,23.737
611,2014,11,21,11,16.487,22.992
612,2014,11,21,12,16.177,21.604
613,2014,11,21,13,16.534,20.15
614,2014,11,21,14,15.939,18.985
615,2014,11,21,15,15.7,19.222
616,2014,11,21,16,15.891,19.912
617,2014,11,21,17,15.939,22.753
618,2014,11,21,18,16.272,22.896
619,2014,11,21,19,16.582,21.987
620,2014,11,21,20,17.272,23.16
621,2014,11,21,21,17.724,23.328
622,2014,11,21,22,16.796,23.472
623,2014,11,21,23,16.796,23.04
624,2014,11,22,0,16.511,22.058
625,2014,11,22,1,16.368,19.912
626,2014,11,22,2,16.463,19.127
627,2014,11,22,3,15.676,18.438
628,2014,11,22,4,16.749,18.129
629,2014,11,22,5,15.939,22.154
630,2014,11,22,6,16.415,22.609
631,2014,11,22,7,16.368,22.345
632,2014,11,22,8,16.868,23.136
633,2014,11,22,9,17.32,23.328
634,2014,11,22,10,19.103,23.232
635,2014,11,22,11,16.701,23.448
636,2014,11,22,12,16.511,21.294
637,2014,11,22,13,15.461,20.341
638,2014,11,22,14,15.533,19.222
639,2014,11,22,15,15.366,18.295
640,2014,11,22,16,16.249,19.056
641,2014,11,22,17,15.939,22.011
642,2014,11,22,18,16.058,22.345
643,2014,11,22,19,15.915,22.776
644,2014,11,22,20,16.225,23.472
645,2014,11,22,21,16.796,22.968
646,2014,11,22,22,17.867,23.593
647,2014,11,22,23,16.296,23.352
648,2014,11,23,0,16.368,21.366
649,2014,11,23,1,15.915,20.484
650,2014,11,23,2,15.796,20.15
651,2014,11,23,3,16.272,18.129
652,2014,11,23,4,15.7,17.177
653,2014,11,23,5,16.082,17.915
654,2014,11,23,6,16.034,20.055
655,2014,11,23,7,16.368,20.674
656,2014,11,23,8,16.368,22.178
657,2014,11,23,9,16.558,22.896
658,2014,11,23,10,16.606,22.393
659,2014,11,23,11,16.939,23.16
660,2014,11,23,12,16.487,23.328
661,2014,11,23,13,16.463,20.293
662,2014,11,23,14,16.487,19.151
663,2014,11,23,15,16.915,19.46
664,2014,11,23,16,15.748,18.057
665,2014,11,23,17,16.058,19.722
666,2014,11,23,18,16.296,20.913
667,2014,11,23,19,16.534,20.984
